"DISTRICT","MANDAL","07-08-19","08-08-19","09-08-19","10-08-19","11-08-19","12-08-19","13-08-19","14-08-19","15-08-19","16-08-19"
"KURNOOL","VELDURTHIKURNOOL",8.07,4.52,0.28,0.0700000000000003,0.789999999999999,1.04,0.67,2.99,3.72,2.47
"KURNOOL","VELGODE",24.66,17.48,0.339999999999996,0.920000000000002,2.04,2.07,1.55,6.72,8.45,5.1
"KURNOOL","YEMMIGANUR",13.77,3.21,0.41,0.119999999999999,1.07,0.58,0.43,3.48,3.54,2.47
"NELLORE","ALLUR",0.12,1.21,0.01,0.03,0.0899999999999999,0.64,2.08,7.91,6.35,4.05
"NELLORE","ANANTHASAGARAM",0.71,1.15,0.0599999999999998,0.0899999999999999,0,0.49,1.1,4.76,3.57,3.17
"NELLORE","ANUMASAMUDRAMPETA",0.4,0.62,0.03,0.12,0.03,0.55,2.35,7.69,7.66,5.7
"NELLORE","ATMAKURNELLORE",0.5,0.58,0.03,0.16,0.03,0.74,2.35,5.79,6.37,5.7
"NELLORE","BALAYAPALLE",0.61,2.72,0.02,0.0600000000000001,0.0600000000000001,1.77,4.7,3.32,7.08,10.16
"NELLORE","BOGOLE",0.68,0.65,0.0499999999999998,0.0600000000000001,0.16,0.27,1.34,6.38,6.78,5.31
"NELLORE","BUCCHIREDDIPALEM",0.17,1.31,0.0199999999999999,0.0599999999999999,0.0299999999999998,0.58,3.18,6.13,7.08,5.49
"NELLORE","CHEJERLA",0.29,1.05,0.0600000000000001,0.03,0.03,0.55,3.3,5.58,7.05,4.79
"NELLORE","CHILLAKUR",0.14,2.64,0.0299999999999998,0.0599999999999996,0.0899999999999999,1.83,5.28,4.88,6.65,6.1
"NELLORE","CHITTAMUR",0.84,3.17,0.26,0.0300000000000002,0.27,2.08,4.73,5.86,14.16,8.7
"NELLORE","DAGADARTHI",0.17,1.21,0.01,0.0600000000000001,0.03,0.64,2.5,6.44,7.51,4.76
"NELLORE","DAKKILI",0.6,1.1,0.03,0.03,0.0600000000000001,1.43,4,3.24,7.08,6.23
"NELLORE","DORAVARISATRAM",0.84,3.01,0.29,0.0300000000000002,0.27,2.08,5.21,5.53,16.14,9.95
"NELLORE","DUTTALUR",1.37,1.93,0.01,0.16,0,0.61,0.36,6.01,6.38,3.73
"NELLORE","GUDUR",0.34,1.42,0.02,0.0599999999999998,0.0600000000000001,1.68,5.56,4.85,7.08,8.73
"NELLORE","INDUKURPET",0.08,4.77,0.0299999999999998,0.0300000000000002,0.0600000000000001,0.91,2.9,6.35,6.8,4.37
"NELLORE","JALADANKI",1.27,1.39,0.0499999999999998,0.0600000000000001,0.0600000000000001,0.22,1.34,6.5,7.66,5.31
"NELLORE","KALIGIRI",1.05,0.68,0.03,0.12,0.03,0.4,1.34,8.03,7.66,5.22
"NELLORE","KALUVOYA",0.47,1.47,0.0600000000000001,0.03,0,0.7,3.32,4.51,7.05,5.71
"NELLORE","KAVALI",1.2,1.3,0.01,0.0599999999999998,0.16,0.31,1.28,6.38,6.77,5.28
"NELLORE","KODAVALUR",0.17,2.38,0.01,0.0599999999999999,0,0.73,3,6.44,7.08,5.15
"NELLORE","KONDAPURAMNELLORE",1.05,1.39,0.02,0.0899999999999999,0.0600000000000001,0.21,0.64,8.03,7.66,3.97
"NELLORE","KOTA",0.25,3.17,0.12,0.0300000000000002,0.0899999999999999,2.02,4.61,5.86,6.25,7.24
"NELLORE","KOVUR",0.12,2.38,0.01,0.03,0.0299999999999998,0.73,3,6.44,6.35,5.49
"NELLORE","MANUBOLU",0.21,2.66,0.02,0.03,0.03,1.34,4.45,4.82,6.65,5.55
"NELLORE","MARRIPADU",1.46,1.93,0.0399999999999998,0.1,0,0.74,0.73,5.43,5.77,4.76
"NELLORE","MUTHUKUR",0.16,6.28,0.0299999999999994,0.0600000000000005,0.0600000000000001,1.62,5.28,6.26,5.68,5.86
"NELLORE","NAIDUPETA",0.33,3.01,0.0499999999999998,0.0300000000000002,0.0600000000000001,1.86,5.21,5.83,8.08,10.16
"NELLORE","NELLOREMANDAL",0.19,3.59,0.02,0.0300000000000002,0.0300000000000002,0.95,4.39,6.13,6.29,5.67
"NELLORE","OJILI",0.43,3.01,0.0499999999999998,0.0600000000000001,0.0300000000000002,1.77,5.56,5.83,6.6,10.16
"NELLORE","PELLAKUR",0.56,3.03,0.04,0.0300000000000002,0.0600000000000001,1.77,5.21,4.77,11.29,10.16
"NELLORE","PODLAKUR",0.21,2.1,0.03,0.03,0.03,0.95,4.27,5.58,7.05,5.55
"NELLORE","RAPUR",0.6,2.51,0.0700000000000001,0.03,0,0.88,3.32,2.71,6.59,6.65
"NELLORE","SANGAM",0.16,0.77,0.03,0.0600000000000001,0.03,0.58,3.18,5.59,7.72,5.22
"NELLORE","SEETHARAMAPURAM",3.49,4.15,0.0299999999999994,0.12,0.19,0.98,0.0900000000000007,2.5,3.39,0.58
"NELLORE","SULLURPETA",1.08,3.09,0.52,0.0300000000000002,0.27,2.08,4.54,5.92,19.5,9.95
"NELLORE","SYDAPURAM",0.47,2.1,0.03,0,0.0600000000000001,1.44,4.27,3.88,7.08,5.55
"NELLORE","TADA",0.71,1.69,0.46,0.0300000000000002,0.0899999999999999,1.95,4.76,6.69,25.64,9.83000000000001
"NELLORE","THOTAPALLIGUDUR",0.17,6.28,0.0299999999999994,0.0600000000000005,0.0299999999999998,1.1,3.57,6.35,6.8,5.86
"NELLORE","UDAYAGIRI",3.38,2.47,0,0.12,0.0300000000000002,0.27,0.16,2.53,5.34,1.22
"NELLORE","VAKADU",1.08,3.17,0.41,0.0300000000000002,0.34,2.02,4.61,5.86,14.13,7.24
"NELLORE","VARIKUNTAPADU",1.66,1.74,0.02,0.0600000000000001,0.0600000000000001,0.12,0.1,5.65,5.71,1.38
"NELLORE","VENKATACHALAM",0.19,3.59,0.02,0.0300000000000002,0.0300000000000002,1.1,4.45,6.01,6.65,5.67
"NELLORE","VENKATAGIRI",0.82,2.27,0.0600000000000001,0.0600000000000001,0,1.37,3.32,2.54,5.77,8.05
"NELLORE","VIDAVALUR",0.12,2.75,0.0299999999999998,0.0600000000000001,0.0600000000000001,0.79,2.26,7.2,6.44,3.94
"NELLORE","VINJAMUR",1.02,0.53,0.02,0.16,0.03,0.74,0.7,8.03,7.35,4.76
"PRAKASAM","ADDANKI",13.34,4.3,0.0300000000000011,0.0600000000000005,0.390000000000001,0.210000000000001,0.82,1.83,4.18,6.93
"PRAKASAM","ARDHAVEEDU",10.32,7.5,0.640000000000001,0.129999999999999,0.330000000000002,0.399999999999999,0.120000000000001,0.370000000000001,0.789999999999999,1.01
"PRAKASAM","BALLIKURUVA",14.88,3.72,0.0500000000000007,0.52,0.49,0.279999999999999,0.790000000000001,2.42,7.3,6.31
"PRAKASAM","BESTAVARIPETA",5.59,6.17,0.139999999999999,0.0600000000000005,0.24,0.15,0.0600000000000005,0.24,0.789999999999999,0.880000000000001
"PRAKASAM","CHADRASEKARAPURAM",3.44,5.5,0.0600000000000005,0.0899999999999999,0.27,0.880000000000001,0.04,2.72,3.94,0.640000000000001
